"","sector","country","value"
"428","C28","CYP",0.0278564222662379
"429","C29","CYP",0.0381415420704005
"430","C30","CYP",0.00459860865813688
"431","C31","CYP",0.00372525616083743
"432","C32","CYP",0.0168437956034591
"433","C33","CYP",0.0018104988445784
"434","C34","CYP",0.00149322056987136
"435","C35","CYP",0.0967283672206001
"436","C36","CYP",0.0189794586935343
"437","C37","CYP",0.00338430191037192
"438","C38","CYP",0.0233855061512095
"439","C39","CYP",0.0012003099229691
"440","C40","CYP",0.00808691183916111
"441","C41","CYP",0.0148628679791002
"442","C42","CYP",0.0986168907601251
"443","C43","CYP",0.000993005257711246
"444","C44","CYP",0.00310912510414864
"445","C45","CYP",0.000475596805210911
"446","C46","CYP",0.00158713901367765
"447","C47","CYP",0.0987903113419581
"448","C48","CYP",0.0628806364635758
"449","C49","CYP",0.0527475941603123
"450","C50","CYP",0.0518208601516657
"451","C01","CZE",0.0167828618080029
"452","C02","CZE",0.00132704447253395
"453","C03","CZE",0.00020643061320463
"454","C04","CZE",0.00181564580494484
"455","C05","CZE",0.0542422373003395
"456","C06","CZE",0.00550621154734706
"457","C07","CZE",0.000905762962126342
"458","C08","CZE",0.00161932527641528
"459","C09","CZE",0.000661131370081574
"460","C10","CZE",0.00936034318565506
"461","C11","CZE",0.00689339953948174
"462","C12","CZE",0.00902072577399691
"463","C13","CZE",0.00283282167847903
"464","C14","CZE",0.00241156372237931
"465","C15","CZE",0.00191237319815682
"466","C16","CZE",0.00825309410428841
"467","C17","CZE",0.0280793825925015
"468","C18","CZE",0.0114008963102659
"469","C19","CZE",0.0424933835641884
"470","C20","CZE",0.0385238523731548
"471","C21","CZE",0.00671901490980034
"472","C22","CZE",0.0111056455507281
"473","C23","CZE",0.0394165464869899
"474","C24","CZE",0.00445121932226423
"475","C25","CZE",0.00440709550664236
"476","C26","CZE",0.0967317952609993
"477","C27","CZE",0.00790769045883233
"478","C28","CZE",0.0489926555844462
"479","C29","CZE",0.0349622193458857
"480","C30","CZE",0.0182041619566538
"481","C31","CZE",0.000160991231059322
"482","C32","CZE",0.00157139897709959
"483","C33","CZE",0.0182752087285968
"484","C34","CZE",0.000755146612883841
"485","C35","CZE",0.0364088067844801
"486","C36","CZE",0.00341777720686043
"487","C37","CZE",0.00666025639473892
"488","C38","CZE",0.0114039596309147
"489","C39","CZE",0.0156869437770315
"490","C40","CZE",0.00920150900362275
"491","C41","CZE",0.0135652725926086
"492","C42","CZE",0.10067530887904
"493","C43","CZE",0.00156897354309568
"494","C44","CZE",0.00454420135673143
"495","C45","CZE",0.00571356782491016
"496","C46","CZE",0.0116516153101181
"497","C47","CZE",0.086628026798366
"498","C48","CZE",0.0513808950406665
"499","C49","CZE",0.0707204887454799
"500","C50","CZE",0.0328631199809024
"501","C01","DEU",0.00687643965543432
"502","C02","DEU",0.000663764158669147
"503","C03","DEU",0.000131061700279956
"504","C04","DEU",0.00109754376366785
"505","C05","DEU",0.0447194015314853
"506","C06","DEU",0.0115753618563022
"507","C07","DEU",0.00300745973945493
"508","C08","DEU",0.00239764788452134
"509","C09","DEU",0.00122564886507732
"510","C10","DEU",0.0137033214564212
"511","C11","DEU",0.00711092548708729
"512","C12","DEU",0.0137077060400062
"513","C13","DEU",0.00418486843628032
"514","C14","DEU",0.0035172843621527
"515","C15","DEU",0.00202497089727031
"516","C16","DEU",0.0103510803671879
"517","C17","DEU",0.0169929654303502
"518","C18","DEU",0.0103085165862531
"519","C19","DEU",0.0295419176131929
"520","C20","DEU",0.0431464790146947
"521","C21","DEU",0.0080568072346467
"522","C22","DEU",0.0136738534188545
"523","C23","DEU",0.0196795514050216
"524","C24","DEU",0.00205723957159293
"525","C25","DEU",0.00630691021100915
"526","C26","DEU",0.0747998105083234
"527","C27","DEU",0.0117468012982842
"528","C28","DEU",0.0290186570552397
"529","C29","DEU",0.0466679212754712
"530","C30","DEU",0.0114674092976062
"531","C31","DEU",0.000714727309677632
"532","C32","DEU",0.006203460794103
"533","C33","DEU",0.00342175249333382
"534","C34","DEU",0.00107769802903931
"535","C35","DEU",0.0300194371725979
"536","C36","DEU",0.00485105862549759
"537","C37","DEU",0.00805168105892503
"538","C38","DEU",0.011258071337873
"539","C39","DEU",0.0133836855186658
"540","C40","DEU",0.019752211232503
"541","C41","DEU",0.0171415170801316
"542","C42","DEU",0.097897874829615
"543","C43","DEU",0.00241559058213261
"544","C44","DEU",0.0118597942121212
"545","C45","DEU",0.0118557289330417
"546","C46","DEU",0.0127496695670243
"547","C47","DEU",0.0824130949228016
"548","C48","DEU",0.0559276590707318
"549","C49","DEU",0.11224933041919
"550","C50","DEU",0.046996630689154
"551","C01","DNK",0.00558431076443235
"552","C02","DNK",0.000513732115546695
"553","C03","DNK",0.000127233399897503
"554","C04","DNK",0.00158975275612863
"555","C05","DNK",0.0260119040542795
"556","C06","DNK",0.00779439650286537
"557","C07","DNK",0.00107820367085472
"558","C08","DNK",0.000814775569536413
"559","C09","DNK",0.000996855658578722
"560","C10","DNK",0.00598546861109435
"561","C11","DNK",0.00300649936344285
"562","C12","DNK",0.00735190289127276
"563","C13","DNK",0.00131233000114579
"564","C14","DNK",0.0012498254339022
"565","C15","DNK",0.000496204245580727
"566","C16","DNK",0.00253273777600985
"567","C17","DNK",0.0132213680803482
"568","C18","DNK",0.0040203690485328
"569","C19","DNK",0.0422309712875517
"570","C20","DNK",0.0143786276189737
"571","C21","DNK",0.00755047765056322
"572","C22","DNK",0.00645548932883945
"573","C23","DNK",0.0122582490239375
"574","C24","DNK",0.00202297932332003
"575","C25","DNK",0.00832565915051867
"576","C26","DNK",0.0897797412810065
"577","C27","DNK",0.0126083927752489
"578","C28","DNK",0.0444764305169328
"579","C29","DNK",0.0502680252822645
"580","C30","DNK",0.00958134699101162
"581","C31","DNK",0.00175642349127082
"582","C32","DNK",0.000702552689984412
"583","C33","DNK",0.00363378778855777
"584","C34","DNK",0.000280787953059147
"585","C35","DNK",0.0265514959004563
"586","C36","DNK",0.00398816508600044
"587","C37","DNK",0.00486437607820629
"588","C38","DNK",0.0109661936966399
"589","C39","DNK",0.00706610254924025
"590","C40","DNK",0.0258910699681161
"591","C41","DNK",0.0127019202777409
"592","C42","DNK",0.120085880773813
"593","C43","DNK",0.00290861364848454
"594","C44","DNK",0.00505168196712039
"595","C45","DNK",0.00736587539326724
"596","C46","DNK",0.0206832122172713
"597","C47","DNK",0.0799941248243017
"598","C48","DNK",0.0802914252713239
"599","C49","DNK",0.158492667265193
"600","C50","DNK",0.0430993829863562
"601","C01","ESP",0.00965465096116702
"602","C02","ESP",0.000191077247564615
"603","C03","ESP",0.00209976588008356
"604","C04","ESP",0.000379115654107896
"605","C05","ESP",0.0495670765148749
"606","C06","ESP",0.0150433490848626
"607","C07","ESP",0.000552148373063856
"608","C08","ESP",0.00166750009380768
"609","C09","ESP",0.000458501691069625
"610","C10","ESP",0.0117326951051275
"611","C11","ESP",0.00669900924109079
"612","C12","ESP",0.0109814099064363
"613","C13","ESP",0.00157618596192988
"614","C14","ESP",0.0010050478640122
"615","C15","ESP",0.00120626068140651
"616","C16","ESP",0.00591420047558533
"617","C17","ESP",0.0104502306744084
"618","C18","ESP",0.00555727543997322
"619","C19","ESP",0.0154189192040759
"620","C20","ESP",0.0211578779800087
"621","C21","ESP",0.00737051436205363
"622","C22","ESP",0.00836683659955246
"623","C23","ESP",0.0181360002425892
"624","C24","ESP",0.00415242148267229
"625","C25","ESP",0.00607080055846687
"626","C26","ESP",0.0890166618679512
"627","C27","ESP",0.0190870621279664
"628","C28","ESP",0.0413352709513373
"629","C29","ESP",0.0622912781194347
"630","C30","ESP",0.0130306032957534
"631","C31","ESP",0.000816723478980205
"632","C32","ESP",0.00258977147607726
"633","C33","ESP",0.00716663910665219
"634","C34","ESP",0.00042446307268918
"635","C35","ESP",0.0976869347480897
"636","C36","ESP",0.00228137775329522
"637","C37","ESP",0.00602183585671602
"638","C38","ESP",0.0147560173867233
"639","C39","ESP",0.0120319796612411
"640","C40","ESP",0.00720981245006805
"641","C41","ESP",0.014197014606051
"642","C42","ESP",0.0926391652508087
"643","C43","ESP",0.00552302104138214
"644","C44","ESP",0.00931582888319253
"645","C45","ESP",0.00629038637660516
"646","C46","ESP",0.00961837307233671
"647","C47","ESP",0.07398329250562
"648","C48","ESP",0.0610101838974954
"649","C49","ESP",0.0863480568199582
"650","C50","ESP",0.0499193749135848
"651","C01","EST",0.0172751170880403
"652","C02","EST",0.00132819243651694
"653","C03","EST",0.000544453012826439
"654","C04","EST",0.00134669144208243
"655","C05","EST",0.0780467181936146
"656","C06","EST",0.0185786748601183
"657","C07","EST",0.00224810298551914
"658","C08","EST",0.00127809702460906
"659","C09","EST",0.000567431755151242
"660","C10","EST",0.0155679035163914
"661","C11","EST",0.00467087098509983
"662","C12","EST",0.00888039858039455
"663","C13","EST",0.00323841809034332
"664","C14","EST",0.00322746549750776
"665","C15","EST",0.000648859962554944
"666","C16","EST",0.00802578213576207
"667","C17","EST",0.0181775655006668
"668","C18","EST",0.0110166108537764
"669","C19","EST",0.02124241733636
"670","C20","EST",0.0280701199405303
"671","C21","EST",0.0100918232319468
"672","C22","EST",0.0112825772904382
"673","C23","EST",0.022461013284257
"674","C24","EST",0.00371962010485843
"675","C25","EST",0.00127076642600831
"676","C26","EST",0.134039728021098
"677","C27","EST",0.00877280843697083
"678","C28","EST",0.0581025612288182
"679","C29","EST",0.0448541318468623
"680","C30","EST",0.0154598654150643
"681","C31","EST",0.00377781338316381
"682","C32","EST",0.00131809721618659
"683","C33","EST",0.00199891113273902
"684","C34","EST",0.00111503425958151
"685","C35","EST",0.039319290230916
"686","C36","EST",0.00298552375230595
"687","C37","EST",0.00390324286554406
"688","C38","EST",0.0118398138022657
"689","C39","EST",0.0141257715100556
"690","C40","EST",0.0141085058209323
"691","C41","EST",0.00678777841070364
"692","C42","EST",0.0767342288037212
"693","C43","EST",0.00299772031009475
"694","C44","EST",0.00311159996071898
"695","C45","EST",0.0134841718063638
"696","C46","EST",0.00861458295698873
"697","C47","EST",0.0928588947487231
"698","C48","EST",0.0579131753286068
"699","C49","EST",0.051287204327789
"700","C50","EST",0.0376838528884068
"701","C01","FIN",0.00760821300974038
"702","C02","FIN",0.00401170026405135
"703","C03","FIN",0.00077186450476512
"704","C04","FIN",0.000192391123731389
"705","C05","FIN",0.0337354739308037
"706","C06","FIN",0.00788476897419344
"707","C07","FIN",0.000520717368562999
"708","C08","FIN",0.00146363598159884
"709","C09","FIN",0.000149988592844081
"710","C10","FIN",0.0074894753841406
"711","C11","FIN",0.00530912408739194
"712","C12","FIN",0.00851122122544929
"713","C13","FIN",0.00203970297180016
"714","C14","FIN",0.00112829683808035
"715","C15","FIN",0.000963639963700579
"716","C16","FIN",0.00380431790342441
"717","C17","FIN",0.023584395170355
"718","C18","FIN",0.00521548126702015
"719","C19","FIN",0.018168804165998
"720","C20","FIN",0.0146483137397659
"721","C21","FIN",0.00429120013746971
"722","C22","FIN",0.00560028189585523
"723","C23","FIN",0.00949422550105336
"724","C24","FIN",0.00164348277254464
"725","C25","FIN",0.00106874230063077
"726","C26","FIN",0.110020018785667
"727","C27","FIN",0.0134341903645918
"728","C28","FIN",0.0316462556490031
"729","C29","FIN",0.055757787265847
"730","C30","FIN",0.00917950189527153
"731","C31","FIN",0.00346299014271435
"732","C32","FIN",0.00272627761148942
"733","C33","FIN",0.00185764004502741
"734","C34","FIN",0.000471544539935032
"735","C35","FIN",0.0279753015787833
"736","C36","FIN",0.00570573012694098
"737","C37","FIN",0.00563603740383602
"738","C38","FIN",0.00929786818648862
