"","origin","destination","sector","value"
"417","AUS","IDN","C10",1.00011614087969
"418","AUS","IND","C10",1.0028777346015
"419","AUS","IRL","C10",1.00013887379318
"420","AUS","ITA","C10",1.00875442743301
"421","AUS","JPN","C10",1.00024905281141
"422","AUS","KOR","C10",1.00017629858106
"423","AUS","LTU","C10",1
"424","AUS","LUX","C10",1.00789064228535
"425","AUS","LVA","C10",1
"426","AUS","MEX","C10",1.02839171409607
"427","AUS","MLT","C10",1.00789064228535
"428","AUS","NLD","C10",1.02449026584625
"429","AUS","NOR","C10",1.00022046616301
"430","AUS","POL","C10",1.03537510871887
"431","AUS","PRT","C10",1.00418133854866
"432","AUS","ROU","C10",1
"433","AUS","ROW","C10",1.00275970747977
"434","AUS","RUS","C10",1.0225856757164
"435","AUS","SVK","C10",1
"436","AUS","SVN","C10",1.00707721352577
"437","AUS","SWE","C10",1.00691906750202
"438","AUS","TUR","C10",1.00065295509994
"439","AUS","TWN","C10",1.00177541762591
"440","AUS","USA","C10",1
"441","AUS","AUS","C11",1
"442","AUS","AUT","C11",1.03012891530991
"443","AUS","BEL","C11",1.03037269592285
"444","AUS","BGR","C11",1.00261405915022
"445","AUS","BRA","C11",1.02363910198212
"446","AUS","CAN","C11",1.0240175819397
"447","AUS","CHE","C11",1.03532828807831
"448","AUS","CHN","C11",1.02370846033096
"449","AUS","CYP","C11",1.01516257166863
"450","AUS","CZE","C11",1.04266033172607
"451","AUS","DEU","C11",1.0297478055954
"452","AUS","DNK","C11",1.01429416656494
"453","AUS","ESP","C11",1.03573964357376
"454","AUS","EST","C11",1.03730207920074
"455","AUS","FIN","C11",1.02378532886505
"456","AUS","FRA","C11",1.03410354614258
"457","AUS","GBR","C11",1.03285624265671
"458","AUS","GRC","C11",1.03214022874832
"459","AUS","HRV","C11",1.02970645427704
"460","AUS","HUN","C11",1.03367499828339
"461","AUS","IDN","C11",1.00428003817797
"462","AUS","IND","C11",1.02510727405548
"463","AUS","IRL","C11",1.02524524927139
"464","AUS","ITA","C11",1.03363900899887
"465","AUS","JPN","C11",1.02787508487702
"466","AUS","KOR","C11",1.02337425470352
"467","AUS","LTU","C11",1.01108366966248
"468","AUS","LUX","C11",1.01798489570618
"469","AUS","LVA","C11",1.02504712581634
"470","AUS","MEX","C11",1.01562606215477
"471","AUS","MLT","C11",1.04937397003174
"472","AUS","NLD","C11",1.03569393157959
